Suburb,Unit_1BR_Count,Unit_1BR_Median,Unit_2BR_Count,Unit_2BR_Median,Unit_3BR_Count,Unit_3BR_Median,Unit_Total_Count,Unit_Total_Median,House_Total_Count,House_Total_Median,Total_Count,Total_Median
Rostrevor,,,10.0,510.0,,665.0,10.0,515.0,30.0,680.0,45.0,650.0
Royal Park,,280.0,,515.0,,,,480.0,25.0,640.0,30.0,580.0
Royston Park,,,,605.0,,,,605.0,10.0,807.5,15.0,630.0
Salisbury,,380.0,30.0,425.0,5.0,522.5,40.0,430.0,55.0,550.0,100.0,500.0
Salisbury Downs,10.0,290.0,,,,500.0,10.0,300.0,40.0,575.0,55.0,560.0
Salisbury East,,400.0,5.0,430.0,,800.0,10.0,440.0,60.0,577.5,70.0,565.0
Salisbury Heights,,,,,,,,,5.0,625.0,15.0,280.0
Salisbury North,,127.15,,475.0,,400.0,,445.0,75.0,535.0,80.0,527.5
Salisbury Park,,,,,,,,,10.0,580.0,10.0,580.0
Salisbury Plain,,,,,,,,,10.0,565.0,10.0,565.0
Scott Creek,,,,,,,,,,450.0,,450.0
Seacliff,,,,497.5,,720.0,,500.0,10.0,700.0,15.0,680.0
Seacliff Park,,,,485.0,,,,485.0,10.0,630.0,10.0,630.0
Seacombe Gardens,,275.0,,371.35,,366.7,5.0,312.5,15.0,650.0,20.0,610.0
Seacombe Heights,,330.0,,,,,,330.0,,650.0,5.0,625.0
Seaford,,,,500.0,,530.0,,515.0,25.0,610.0,25.0,610.0
Seaford Heights,,,,,,,,,10.0,650.0,10.0,650.0
Seaford Meadows,,,,490.0,,560.0,5.0,495.0,20.0,590.0,25.0,590.0
Seaford Rise,,,,,,,,,15.0,577.5,15.0,577.5
Seaton,,420.0,10.0,460.0,5.0,585.0,20.0,485.0,75.0,665.0,95.0,650.0
Seaview Downs,,,,,,,,,10.0,570.0,15.0,550.0
Sefton Park,,,,460.0,,,,460.0,,600.0,5.0,540.0
Sellicks Beach,,,,,,,,,10.0,600.0,10.0,600.0
Sellicks Hill,,,,,,,,,,680.0,,680.0
Semaphore,,382.5,,450.0,,1000.0,10.0,450.0,15.0,625.0,25.0,510.0
Semaphore Park,,,,550.0,,,,550.0,20.0,600.0,25.0,580.0
Semaphore South,,,10.0,455.0,,,10.0,455.0,,570.0,10.0,460.0
Sheidow Park,,,,,,,,,15.0,700.0,15.0,700.0
Smithfield,5.0,98.4,,288.485,,310.33,10.0,171.155,25.0,540.0,40.0,520.0
Smithfield Plains,,237.9,,,,,,237.9,55.0,520.0,55.0,520.0
Somerton Park,,427.5,15.0,525.0,,600.0,20.0,522.5,15.0,750.0,35.0,600.0
South Brighton,,,10.0,550.0,,,10.0,550.0,15.0,725.0,25.0,630.0
South Plympton,,400.0,10.0,482.5,,,10.0,445.0,25.0,700.0,35.0,600.0
Springfield,,,,,,,,,,,,220.0
St Agnes,,,,485.0,,550.0,,550.0,15.0,610.0,20.0,572.5
St Clair,,,10.0,540.0,,700.0,10.0,550.0,30.0,600.0,45.0,590.0
St Georges,,,,575.0,,,,575.0,5.0,780.0,10.0,740.0
St Marys,,,10.0,440.0,,570.0,10.0,450.0,15.0,650.0,30.0,500.0
St Morris,,,,500.0,,,,500.0,,860.0,10.0,610.0
St Peters,,420.0,10.0,500.0,,,15.0,500.0,10.0,727.5,25.0,510.0
Stepney,,,,,,,,,10.0,797.5,10.0,797.5
Stirling,,,,,,,,,,970.0,,970.0
Stonyfell,,,,,,,,,,1000.0,,1000.0
Sturt,,172.5,,,,,,172.5,20.0,657.5,20.0,652.5
Summertown,,,,,,,,,,825.0,,825.0
Surrey Downs,,,,520.0,,,,520.0,10.0,620.0,15.0,620.0
Taperoo,,180.0,,203.2,,,,203.2,20.0,550.0,25.0,550.0
Tea Tree Gully,,335.0,,510.0,,550.0,5.0,505.0,15.0,635.0,20.0,550.0
Tennyson,,,,570.0,,,,570.0,,895.0,5.0,650.0
Teringie,,,,,,570.0,,570.0,,1000.0,,887.5
Thebarton,,266.0,,430.0,,690.0,,430.0,15.0,575.0,15.0,537.5
Thorngate,,,,,,,,,,335.0,,335.0
Tonsley,,260.0,,620.0,,800.0,10.0,620.0,20.0,675.0,30.0,650.0
Toorak Gardens,,460.0,,580.0,,,5.0,520.0,,795.0,10.0,600.0
Torrens Park,,,,450.0,,,,450.0,5.0,870.0,10.0,592.5
Torrensville,,400.0,5.0,510.0,,550.0,10.0,512.5,15.0,700.0,25.0,620.0
Tranmere,,,,425.0,,750.0,5.0,490.0,30.0,695.0,35.0,687.5
Trinity Gardens,,,,560.0,,450.0,5.0,560.0,,650.0,10.0,600.0
Trott Park,,,,,,,,,,667.5,,667.5
Tusmore,,,5.0,535.0,,,5.0,535.0,,670.0,10.0,550.0
Underdale,,380.0,5.0,525.0,,380.0,10.0,507.5,10.0,647.5,20.0,535.0
Unley,,315.0,15.0,530.0,5.0,675.0,25.0,560.0,20.0,735.0,45.0,622.5
Unley Park,,,,550.0,,,5.0,575.0,5.0,720.0,10.0,675.0
Upper Sturt,,,,,,,,,,640.0,,640.0
Uraidla,,,,,,,,,,850.0,,850.0
Urrbrae,,,,630.0,,,,630.0,,600.0,,615.0
Vale Park,,400.0,,500.0,,,,450.0,5.0,667.5,10.0,597.5
Valley View,,,,440.0,,,,440.0,40.0,615.0,45.0,600.0
Virginia,,,,,,,,,25.0,595.0,25.0,595.0
Vista,,,,,,,,,,635.0,,635.0
Walkerville,,520.0,15.0,600.0,,,15.0,590.0,10.0,1050.0,25.0,622.5
Walkley Heights,,,,,,,,,10.0,745.0,10.0,745.0
Warradale,,,10.0,500.0,,597.5,10.0,520.0,30.0,690.0,40.0,650.0
Waterloo Corner,,,,,,,,,,675.0,,675.0
Wattle Park,,,,,,,,,,765.0,,765.0
Wayville,,,5.0,500.0,,650.0,10.0,550.0,,845.0,15.0,580.0
Welland,,420.0,,,,,,420.0,,615.0,,600.0
West Beach,,430.0,15.0,480.0,,512.5,25.0,480.0,10.0,695.0,30.0,502.5
West Croydon,,,,460.0,,590.0,,475.0,20.0,550.0,30.0,535.0
West Hindmarsh,,,,450.0,,,,450.0,10.0,630.0,10.0,550.0
West Lakes,,440.0,10.0,530.0,,690.0,10.0,530.0,25.0,700.0,35.0,680.0
West Lakes Shore,,,,550.0,,520.0,,550.0,5.0,700.0,10.0,600.0
West Richmond,,,,415.0,,,,415.0,,475.0,5.0,415.0
Westbourne Park,,,,497.5,,,,497.5,10.0,735.0,15.0,670.0
Willaston,,,,420.0,,550.0,,485.0,15.0,600.0,15.0,575.0
Willunga,,,,465.0,,,,465.0,5.0,525.0,5.0,500.0
Windsor Gardens,,320.0,10.0,497.5,,,10.0,495.0,40.0,630.0,50.0,550.0
Wingfield,,,,,,,,,,622.5,,622.5
Woodcroft,,450.0,,,,,,450.0,30.0,600.0,30.0,600.0
Woodforde,,495.0,,650.0,,,,572.5,10.0,700.0,10.0,690.0
Woodville,,,,565.0,,620.0,,620.0,5.0,680.0,10.0,630.0
Woodville Gardens,,,,364.45,,450.0,5.0,364.45,15.0,497.5,20.0,483.7
Woodville North,,246.0,5.0,510.0,,650.0,10.0,517.5,15.0,525.0,30.0,522.5
Woodville Park,,,,350.0,,595.0,,360.0,5.0,575.0,10.0,490.0
Woodville South,,560.0,,500.0,,575.0,5.0,550.0,15.0,680.0,25.0,600.0
Woodville West,,,15.0,495.0,,490.0,20.0,492.5,25.0,640.0,45.0,600.0
Wynn Vale,,,,510.0,,550.0,,540.0,15.0,580.0,20.0,565.0
Yatala Vale,,,,,,,,,,590.0,,590.0
Metro Total,950.0,430.0,1955.0,510.0,405.0,600.0,3335.0,500.0,7025.0,600.0,10695.0,580.0
Country,,,,,,,,,,,,
Allendale East,,,,,,,,,,345.0,,345.0
American River,,,,,,,,,,440.0,,440.0
Andamooka,,,,,,,,,,200.0,,200.0
Angaston,,,,360.0,,,,360.0,10.0,437.5,10.0,425.0
Ardrossan,,,,,,410.0,,410.0,5.0,400.0,10.0,405.0
Arno Bay,,,,,,,,,,350.0,,350.0
Auburn,,,,,,,,,,415.0,,415.0
Balaklava,,,,,,,,,10.0,400.0,10.0,400.0
Balhannah,,,,,,,,,,682.5,,682.5
Ballast Head,,,,,,,,,,380.0,,380.0
Barmera,,,,320.0,,,,320.0,10.0,360.0,15.0,330.0
Baudin Beach,,,,270.0,,440.0,,355.0,,450.0,,440.0
Berri,,207.5,5.0,247.5,,360.0,10.0,250.0,25.0,380.0,35.0,350.0
Bethany,,,,,,,,,,600.0,,600.0
Biggs Flat,,,,,,,,,,480.0,,480.0
Birdwood,,,,392.5,,,,392.5,,975.0,,502.5
Blackfellows Caves,,,,,,,,,,380.0,,380.0
Blanche Harbor,,,,,,,,,,400.0,,400.0
Blanchetown,,,,,,,,,,315.0,,315.0
Booleroo Centre,,146.0,,,,,,146.0,,350.0,,248.0
Bordertown,,,,191.2,,,,191.2,15.0,427.5,15.0,425.0
Boston,,,,,,,,,,490.0,,490.0
Brownlow Via Kingscote,,,,230.0,,,,230.0,,,,230.0
Bugle Hut,,,,,,,,,,280.0,,280.0
Burra,,,,,,,,,,400.0,,400.0
Bute,,,,,,,,,,400.0,,400.0
Callington,,,,,,,,,,380.0,,380.0
Cambrai,,,,,,,,,,400.0,,400.0
Cape Douglas,,,,,,,,,,445.0,,445.0
Carrickalinga,,350.0,,,,,,350.0,,500.0,,425.0
Ceduna,,,,,,,,,,400.0,,400.0
Chiton,,,,,,,,,,470.0,,470.0
Clare,,,,,,355.0,,355.0,20.0,450.0,20.0,450.0
Clayton Bay,,,,,,,,,,450.0,,450.0
Cleve,,220.0,,,,,,220.0,,305.0,,260.0
Cobdogla,,,,,,,,,,400.0,,400.0
Coffin Bay,,,,,,,,,,555.0,,555.0
Commissariat Point,,,,,,,,,,425.0,,425.0
Compton,,,,,,,,,,550.0,,550.0
Coober Pedy,,194.0,,,,295.0,,244.5,10.0,250.0,15.0,250.0
Coobowie,,,,,,,,,,400.0,,400.0
Cooltong,,,,,,,,,,340.0,,340.0
Coonalpyn,,,,,,,,,,260.0,,260.0
Coonawarra,,,,,,,,,,250.0,,250.0
Cowell,,200.0,,,,,,200.0,,200.0,,200.0
Cross Roads,,,,,,,,,,420.0,,420.0
Crystal Brook,,,,,,,,,,580.0,,580.0
Cudlee Creek,,,,,,,,,,530.0,,530.0
Cummins,,,,,,,,,,450.0,,450.0
Dawesley,,,,,,,,,,550.0,,550.0
Echunga,,,,,,,,,,595.0,,595.0
Edithburgh,,,,,,,,,,412.5,,412.5
Eight Mile Creek,,,,,,,,,,560.0,,560.0
Encounter Bay,,,,475.0,,490.0,,482.5,30.0,577.5,35.0,557.5
Eudunda,,270.0,,,,,,270.0,,350.0,,310.0
Farrell Flat,,,,,,,,,,300.0,,300.0
Finniss,,,,,,,,,,480.0,,480.0
Fisherman Bay,,,,,,,,,,380.0,,380.0
Flaxman Valley (Mount Pleasan,,,,,,,,,,650.0,,650.0
Forreston,,,,,,,,,,590.0,,590.0
Freeling,,,,,,,,,,560.0,,560.0
Gawler Belt,,,,,,,,,,687.5,,275.0
German Creek,,,,,,,,,,350.0,,350.0
Gladstone,,,,,,,,,,350.0,,350.0
Glossop,,,,,,,,,,290.0,,290.0
Goolwa,,275.0,,370.0,,600.0,10.0,335.0,10.0,490.0,15.0,397.5
Goolwa Beach,,,,,,,,,15.0,500.0,15.0,500.0
Goolwa North,,,,,,,,,10.0,520.0,10.0,520.0
Goolwa South,,,,435.0,,,,435.0,10.0,520.0,10.0,510.0
Greenock,,,,,,,,,,675.0,,675.0
Gumeracha,,211.0,,,,,,211.0,,590.0,,580.0
Hahndorf,,,,490.0,,,,490.0,,575.0,,490.0
Hatherleigh,,,,,,,,,,350.0,,350.0
Hawker,,,,,,180.0,,180.0,,,,180.0
Hayborough,,,,,,520.0,,520.0,20.0,590.0,25.0,590.0
Hewett,,,,,,,,,,762.5,,762.5
Hilltown,,,,,,,,,,310.0,,310.0
Hindmarsh Island,,,,,,,,,,600.0,,600.0
Hindmarsh Valley,,,,,,,,,,,,300.0
James Well,,,,,,,,,,380.0,,380.0
Jamestown,,,,,,,,,,295.0,,295.0
Jerusalem,,,,,,,,,,550.0,,550.0
Kadina,,,,,,,,,15.0,420.0,15.0,420.0
Kalbeeba,,,,,,,,,,510.0,,510.0
Kanmantoo,,,,,,,,,,560.0,,560.0
Kapunda,,164.9,,,,,,164.9,10.0,550.0,10.0,530.0
Karoonda,,,,,,,,,,270.0,,270.0
Keith,,210.0,,,,,,210.0,,310.0,,270.0
Kersbrook,,,,,,,,,,730.0,,730.0
Keyneton,,,,,,,,,,645.0,,645.0
Kimba,,85.0,,,,,,85.0,,,,85.0
Kingscote,,200.0,,300.0,,,,260.0,10.0,400.0,15.0,380.0
Kingston SE,,,,350.0,,,,350.0,,325.0,,350.0
Korunye,,,,,,,,,,600.0,,600.0
Kuitpo,,,,,,,,,,400.0,,400.0
Kybunga,,,,,,,,,,350.0,,350.0
Kyeema,,,,,,,,,,495.0,,495.0
Lameroo,,,,350.0,,,,250.0,,350.0,,350.0
Leigh Creek,,,,,,,,,,280.0,,280.0
Lenswood,,,,,,,,,,450.0,,450.0
Lewiston,,,,,,,,,,500.0,,500.0
Light Pass,,,,,,,,,,425.0,,425.0
Littlehampton,,,,,,,,,,670.0,,670.0
Lobethal,,,,,,,,,,580.0,,580.0
Lochiel,,,,,,,,,,330.0,,330.0
Lock,,240.0,,,,,,240.0,,230.0,,230.0
Lower Light,,,,,,,,,,595.0,,595.0
Loxton,,353.5,,300.0,,,5.0,310.0,15.0,430.0,20.0,395.0
Loxton North,,,,,,,,,5.0,380.0,5.0,380.0
Lucindale,,,,,,,,,,360.0,,360.0
Lyndoch,,,,,,,,,5.0,550.0,10.0,550.0
Macclesfield,,,,,,545.0,,545.0,,,,545.0
Maitland,,,,,,,,,5.0,362.5,5.0,362.5
Mallala,,,,,,,,,,400.0,,400.0
Mannum,,,,270.0,,,,270.0,10.0,420.0,10.0,340.0
Mccracken,,300.0,,,,,,300.0,,630.0,5.0,350.0
Meadows,,,,,,,,,,700.0,,700.0
Meningie,,,,315.0,,,,315.0,,400.0,,370.0
Middle Beach,,,,,,,,,,,11.0,260.0
Middleton,,,,395.0,,530.0,,462.5,10.0,520.0,10.0,520.0
Milang,,,,,,,,,,450.0,,450.0
Millicent,,205.0,,325.0,,,,320.0,20.0,350.0,25.0,330.0
Mingbool,,,,,,,,,,750.0,,750.0
Minlaton,,,,182.0,,,,182.0,,400.0,5.0,397.5
Moculta,,,,,,,,,,562.5,,562.5
Monarto,,,,,,,,,,380.0,,380.0
Monash,,,,300.0,,,,300.0,,430.0,,365.0
Montarra,,,,,,,,,,600.0,,600.0
Moonta,,,,,,,,,,440.0,,440.0
Moonta Bay,,,,200.7,,,,200.7,10.0,400.0,10.0,380.0
Moorak,,,,,,,,,,665.0,,665.0
Moorook South,,,,,,,,,,430.0,,430.0
Mount Barker,,566.5,,420.0,10.0,517.5,15.0,517.5,220.0,600.0,235.0,595.0
Mount Barker Springs,,,,,,,,,,510.0,,510.0
Mount Benson,,,,,,,,,,525.0,,525.0
Mount Bryan,,,,,,,,,,150.0,,150.0
Mount Burr,,,,,,,,,,270.0,,270.0
Mount Gambier,5.0,270.0,55.0,300.0,10.0,387.5,75.0,300.0,195.0,460.0,270.0,430.0
Mount Pleasant,,,,,,,,,,550.0,,550.0
Murray Bridge,10.0,250.0,20.0,350.0,,140.0,30.0,310.0,200.0,460.0,230.0,450.0
Murray Bridge East,,,,,,,,,,520.0,,520.0
Murray Bridge North,,,,,,,,,,650.0,,650.0
Myponga,,,,,,,,,,453.75,,453.75
Nairne,,,,485.0,,,,485.0,20.0,600.0,25.0,595.0
Napperby,,,,,,,,,,350.0,,350.0
Naracoorte,,,10.0,325.0,,390.0,10.0,325.0,30.0,390.0,40.0,370.0
Nepean Bay,,,,,,,,,,375.0,,375.0
New Town,,,,,,,,,,460.0,,460.0
Normanville,,,,320.0,,420.0,,420.0,10.0,590.0,10.0,580.0
North Beach,,,,,,,,,,440.0,,440.0
North Shields,,,,,,,,,,620.0,,620.0
Northern Heights,,,,,,,,,,500.0,,500.0
Nuriootpa,,,,365.0,,455.0,,450.0,35.0,555.0,40.0,550.0
Oakbank,,,,,,,,,,700.0,,700.0
Ob Flat,,,,,,,,,,550.0,,550.0
Owen,,,,,,,,,,335.0,,335.0
Padthaway,,,,,,,,,,300.0,,300.0
Parham,,,,,,,,,,470.0,,470.0
Paringa,,195.0,,340.0,,,,330.0,,460.0,5.0,350.0
Paris Creek,,,,,,,,,,460.0,,460.0
Pekina,,,,,,,,,,450.0,,450.0
Penneshaw,,,,,,,,,,500.0,,500.0
Penola,,,,,,,,,,340.0,,340.0
Penrice,,,,,,,,,,450.0,,450.0
Penwortham,,,,,,,,,,475.0,,475.0
Peterborough,,,,,,,,,5.0,367.5,5.0,367.5
Pinnaroo,,250.0,,,,,,250.0,,400.0,,325.0
Point Boston,,,,,,,,,,570.0,,570.0
Point Pass,,280.0,,,,,,280.0,,,,280.0
Point Turton,,,,,,,,,,422.5,,422.5
Port Augusta,10.0,265.0,25.0,300.0,,,35.0,295.0,70.0,355.0,105.0,330.0
Port Augusta West,,290.0,,375.0,,,,332.5,20.0,380.0,25.0,380.0
Port Broughton,,,,275.0,,,,275.0,5.0,580.0,10.0,550.0
Port Elliot,,,,330.2,,,,330.2,10.0,512.5,15.0,497.5
Port Hughes,,,,,,,,,,500.0,,500.0
Port Lincoln,5.0,250.0,15.0,400.0,10.0,520.0,35.0,400.0,85.0,480.0,125.0,450.0
Port Macdonnell,,,,,,,,,,400.0,,400.0
Port Mannum,,,,,,,,,,300.0,,300.0
Port Neill,,,,,,,,,,200.0,,200.0
Port Pirie,,,,,,,,,15.0,415.0,30.0,227.5
Port Pirie South,,220.0,,277.5,,,,275.0,15.0,410.0,15.0,400.0
Port Pirie West,,240.0,,312.5,,,,240.0,15.0,350.0,20.0,337.5
Port Victoria,,,,,,,,,,300.0,,300.0
Port Vincent,,,,,,,,,,500.0,,500.0
Port Wakefield,,,,365.0,,,,365.0,,485.0,,365.0
Qualco,,,,,,,,,,230.0,,230.0
Quorn,,,,,,,,,,300.0,,300.0
Rapid Bay,,,,,,,,,,450.0,,450.0
Red Banks,,,,,,,,,,900.0,,900.0
Redhill,,,,,,,,,,330.0,,330.0
Reedy Creek,,,,,,,,,,280.0,,280.0
Reeves Plains,,,,,,,,,,450.0,,450.0
Renmark,,247.5,10.0,300.0,,440.0,10.0,290.0,40.0,410.0,55.0,382.5
Renmark West,,,,,,,,,,450.0,,450.0
Risdon Park,,,,,,320.0,,320.0,20.0,392.5,20.0,382.5
Risdon Park South,,,,,,,,,5.0,355.0,5.0,355.0
Riverglades,,,,,,,,,,350.0,,350.0
Riverton,,,,,,,,,,400.0,,400.0
Robe,,,,240.0,,,,240.0,,450.0,5.0,240.0
Rosetown,,,,,,,,,,425.0,,425.0
Roseworthy,,,,,,,,,,700.0,,700.0
Rowland Flat,,,,,,,,,,650.0,,475.0
Roxby Downs,,,,315.0,15.0,310.0,20.0,310.0,40.0,400.0,60.0,377.5
Saddleworth,,250.0,,,,,,250.0,,500.0,5.0,437.5
Sandergrove,,,,,,,,,,400.0,,400.0
Second Valley,,300.0,,,,,,300.0,,,,300.0
Sevenhill,,,,,,,,,,400.0,,400.0
Solomontown,,,,,,,,,15.0,370.0,15.0,370.0
Stansbury,,,,,,,,,,475.0,,475.0
Stirling North,,,,,,,,,5.0,390.0,5.0,390.0
Stockport,,,,,,,,,,,,170.0
Strathalbyn,,370.0,,450.0,,520.0,5.0,450.0,25.0,530.0,30.0,525.0
Streaky Bay,,,,,,,,,,310.0,,310.0
Suttontown,,,,,,,,,5.0,610.0,5.0,610.0
Tailem Bend,,247.0,,,,,,247.0,5.0,400.0,5.0,400.0
Tanunda,,,,425.0,,550.0,,450.0,25.0,550.0,30.0,550.0
Tarpeena,,,,287.5,,,,287.5,,350.0,,287.5
Templers,,,,,,,,,,590.0,,590.0
Thevenard,,,,,,,,,,450.0,,450.0
Thompson Beach,,,,,,,,,,435.0,,435.0
Tintinara,,,,,,,,,,300.0,,300.0
Tooperang,,,,,,,,,,500.0,,500.0
Totness,,,,,,,,,,595.0,,595.0
Towitta,,,,,,,,,,320.0,,320.0
Truro,,,,,,,,,,450.0,,450.0
Tulka,,,,,,,,,,350.0,,350.0
Tumby Bay,,,,266.25,,405.0,,300.0,,500.0,10.0,365.0
Two Wells,,400.0,,400.0,,,,400.0,25.0,670.0,30.0,650.0
Verdun,,,,,,,,,,,,227.5
Victor Harbor,,,,440.0,,450.0,,450.0,20.0,490.0,25.0,480.0
Waikerie,,250.0,,,,250.0,,250.0,5.0,350.0,10.0,340.0
Waitpinga,,,,,,,,,,650.0,,650.0
Wallaroo,,,,280.0,,,,280.0,25.0,440.0,25.0,432.5
Wanilla,,,,,,,,,,450.0,,450.0
Warooka,,,,,,,,,,380.0,,380.0
Watervale,,,,,,,,,,500.0,,500.0
Wattle Flat,,250.0,,,,,,250.0,,,,250.0
Wellington East,,,,,,,,,,375.0,,375.0
Westall,,200.0,,,,,,200.0,,,,200.0
Whyalla,,243.8,10.0,250.0,,,15.0,250.0,20.0,360.0,35.0,310.0
Whyalla Jenkins,,,,,,,,,20.0,427.5,20.0,427.5
Whyalla Norrie,,305.0,,275.0,,,,275.0,50.0,307.5,55.0,305.0
Whyalla Playford,,240.0,10.0,250.0,,,15.0,250.0,15.0,375.0,25.0,300.0
Whyalla Stuart,,240.0,,,,,,240.0,55.0,280.0,60.0,280.0
Willalooka,,,,,,,,,,270.0,,270.0
Willow Creek,,,,,,,,,,405.0,,405.0
Wilmington,,,,,,,,,,350.0,,350.0
Windsor,,,,,,,,,,600.0,,600.0
Wirrina Cove,,300.0,,,,,,300.0,,520.0,,300.0
Wistow,,,,,,,,,,650.0,,650.0
Wonuarra,,,,,,,,,,340.0,,340.0
Woodside,,,,,,,,,10.0,570.0,10.0,570.0
Wool Bay,,,,,,,,,,445.0,,445.0
Worrolong,,,,,,,,,,580.0,,580.0
Wudinna,,,,,,,,,,300.0,,300.0
Yahl,,,,,,,,,,510.0,,510.0
Yankalilla,,,,214.1,,,,214.1,,,,214.1
Yorketown,,,,,,,,,,380.0,,380.0
Country Total,95.0,250.0,250.0,300.0,70.0,410.0,425.0,300.0,2040.0,450.0,2515.0,430.0
Grand Total,1050.0,420.0,2205.0,500.0,475.0,585.0,3755.0,495.0,9070.0,590.0,13210.0,550.0
